Date of Rally,City,State,Venue,Estimated Visitors,Source
"Wednesday, June 17, 2015",Manchester,NH,Manchester Community College,300,[1]
"Saturday, July 11, 2015",Phoenix,AZ,Phoenix Convention Center,"4,169",[2]
"Tuesday, July 21, 2015",Sun City,SC,Magnolia Hall,500,[3]
"Saturday, July 25, 2015",Oskaloosa,IA,Oskaloosa High School,"1,000",[4]
"Friday, August 14, 2015",Hampton,NH,Winnacunnet High School,"3,000",[5]
"Friday, August 21, 2015",Mobile,AL,Ladd–Peebles Stadium,"15–30,000",[6]
"Tuesday, August 25, 2015",Dubuque,IA,Grand River Center,"3,000",[7]
"Thursday, August 27, 2015",Greenville,SC,TD Convention Center,"1,400",[8]
"Friday, August 28, 2015",Norwood,MA,"Home of Ernie Boch, Jr.","1,500–2,000",[9][10]
"Monday, September 14, 2015",Dallas,TX,American Airlines Center,"15,000",[11]
"Tuesday, September 15, 2015",Los Angeles,CA,USS Iowa,"1,000",[12]
"Friday, September 25, 2015",Oklahoma City,OK,Oklahoma State Fair,"15,000",[13]
"Wednesday, September 30, 2015",Keene,NH,Keene High School,"3,500",[14]
"Saturday, October 3, 2015",Franklin,TN,Dortch Stove Works,,[15]
"Wednesday, October 7, 2015",Waterloo,IA,Electric Park Ballroom,"1,100",[16]
"Saturday, October 10, 2015",Norcross,GA,North Atlanta Trade Center,"7,700",[17]
"Friday, October 16, 2015",Tyngsboro,MA,Tyngsboro Elementary School,"1,000",[10]
"Monday, October 19, 2015",Anderson,SC,Civic Center of Anderson,"5,000",[18]
"Friday, October 23, 2015",Miami,FL,Trump National Doral Miami,,[19]
"Saturday, October 24, 2015",Jacksonville,FL,Jacksonville Landing,"20,000",[20]
"Tuesday, October 27, 2015",Sioux City,IA,West High School,"2,200",[21][22]
"Thursday, October 29, 2015",Sparks,NV,Nugget Casino Resort,"2,000",[23]
"Saturday, October 31, 2015",Norfolk,VA,USS Wisconsin,"2,000",[24]
"Monday, November 9, 2015",Springfield,IL,Prairie Capital Convention Center,"10,200",[25]
"Thursday, November 12, 2015",Fort Dodge,IA,Iowa Central Community College,"1,500",[26]
"Saturday, November 14, 2015",Beaumont,TX,Ford Arena,,[27][28]
"Monday, November 16, 2015",Knoxville,TN,Knoxville Convention Center,"5,000",[29][30]
"Wednesday, November 18, 2015",Worcester,MA,DCU Center,"10,500",[31]
"Thursday, November 19, 2015",Newton,IA,"Maytag Auditorium, DMACC Newton Campus",400,[32][33]
"Saturday, November 21, 2015",Birmingham,AL,Birmingham–Jefferson Convention Complex,"3,000",[34]
"Monday, November 23, 2015",Columbus,OH,Greater Columbus Convention Center,"14,000",[35]
"Tuesday, November 24, 2015",Myrtle Beach,SC,Myrtle Beach Convention Center,"8,000",[36][37]
"Saturday, November 28, 2015",Sarasota,FL,Robarts Arena,"9,000",[38]
"Monday, November 30, 2015",Macon,GA,Macon Coliseum,"6,000",[39]
"Tuesday, December 1, 2015",Waterville Valley,NH,White Mountain Athletic Club,900,[40]
"Wednesday, December 2, 2015",Manassas,VA,Prince William County Fairgrounds,,[41]
"Friday, December 4, 2015",Raleigh,NC,Dorton Arena,"8,000",[42][43]
"Saturday, December 5, 2015",Davenport,IA,Mississippi Valley Fairgrounds,"1,700",[44]
"Saturday, December 5, 2015",Spencer,IA,Clay County Regional Events Center,"1,300",[45]
"Monday, December 7, 2015",Mount Pleasant,SC,USS Yorktown,,[46]
"Friday, December 11, 2015",Des Moines,IA,"Varied Industries Building, Iowa State Fairgrounds","2,500",[47]
"Saturday, December 12, 2015",Aiken,SC,USC Aiken Convocation Center,,[48]
"Monday, December 14, 2015",Las Vegas,NV,Westgate Las Vegas Resort & Casino,,[49]
"Wednesday, December 16, 2015",Mesa,AZ,Phoenix–Mesa Gateway Airport,"3,100",[50]
