Date of rally,City,State,Venue,Other speakers,Source
"Saturday, March 10, 2018",Moon Township,PA,Pittsburgh International Airport,Rick Saccone,[20]
"Saturday, April 28, 2018",Washington Township,MI,Total Sports Park,Bill Schuette,[21]
"Thursday, May 10, 2018",Elkhart,IN,North Side Middle School,"Mike Pence, Mike Braun",[22]
"Tuesday, May 29, 2018",Nashville,TN,Nashville Municipal Auditorium,Marsha Blackburn,[23]
"Wednesday, June 20, 2018",Duluth,MN,AMSOIL Arena,Pete Stauber,[24]
"Saturday, June 23, 2018",Las Vegas,NV,Nevada Republican Convention,Dean Heller,[25]
"Monday, June 25, 2018",West Columbia,SC,Airport High School,Henry McMaster,[26]
"Wednesday, June 27, 2018",Fargo,ND,Scheels Arena,Kevin Cramer,[27]
"Thursday July 5, 2018",Great Falls,MT,Four Seasons Arena,Matt Rosendale,[28]
"Tuesday, July 31, 2018",Tampa,FL,Florida State Fairgrounds,Ron DeSantis,[29]
"Thursday, August 2, 2018",Wilkes-Barre,PA,Mohegan Sun Arena at Casey Plaza,Lou Barletta,[30]
"Saturday, August 4, 2018",Lewis Center,OH,Olentangy Orange High School,"Troy Balderson, Jim Jordan",[31]
"Tuesday, August 21, 2018",Charleston,WV,Charleston Civic Center,"Patrick Morrisey, Jim Justice",[32]
"Thursday, August 30, 2018",Evansville,IN,Ford Center,Mike Braun,[33]
"Thursday, September 6, 2018",Billings,MT,MetraPark Arena,Matt Rosendale,[34]
"Thursday, September 20, 2018",Las Vegas,NV,Las Vegas Convention Center,"Dean Heller, Adam Laxalt",[35]
"Friday, September 21, 2018",Springfield,MO,JQH Arena,Josh Hawley,[36]
"Saturday, September 29, 2018",Wheeling,WV,WesBanco Arena,"Patrick Morrisey, Jim Justice",[37]
"Monday, October 1, 2018",Johnson City,TN,Freedom Hall,"Marsha Blackburn, Bill Lee",[38]
"Tuesday, October 2, 2018",Southaven,MS,Landers Center,"Cindy Hyde-Smith, Roger Wicker",[39]
"Thursday, October 4, 2018",Rochester,MN,Mayo Civic Center,"Jim Hagedorn, Jason Lewis, Karin Housley",[40]
"Saturday, October 6, 2018",Topeka,KS,Kansas Expocentre,"Kris Kobach, Steve Watkins",[41]
"Tuesday,  October 9, 2018",Council Bluffs,IA,Mid-America Center,"Kim Reynolds, David Young",[42]
"Wednesday, October 10, 2018",Erie,PA,Erie Insurance Arena,"Lou Barletta, Mike Kelly",[43]
"Friday, October 12, 2018",Lebanon,OH,Warren County Fairgrounds,"Jim Renacci, Steve Chabot",[44]
"Saturday, October 13, 2018",Richmond,KY,Alumni Coliseum,"Andy Barr, Mitch McConnell, Rand Paul",[45]
"Thursday, October 18, 2018",Missoula,MT,Minuteman Aviation,Matt Rosendale,[46]
"Friday, October 19, 2018",Mesa,AZ,International Air Response,Martha McSally,[47]
"Saturday, October 20, 2018",Elko,NV,Mountain West Aviation,"Adam Laxalt, Dean Heller",[48]
"Monday, October 22, 2018",Houston,TX,Toyota Center,"Ted Cruz, Greg Abbott, John Cornyn, Dan Patrick, Lara Trump, Eric Trump, Tilman Fertitta, George Springer, Cal McNair, John Culberson, Gabriel Brenner",[49]
"Wednesday, October 24, 2018",Mosinee,WI,Central Wisconsin Airport,"Scott Walker, Leah Vukmir, Paul Ryan",[50]
"Friday, October 26, 2018",Charlotte,NC,Bojangles' Coliseum,"Mark Harris, Ted Budd",[51]
"Saturday, October 27, 2018",Murphysboro,IL,Southern Illinois Airport,"Mike Bost, Rodney Davis, Randy Hultgren",[52]
"Wednesday, October 31, 2018",Fort Myers,FL,Hertz Arena,"Ron DeSantis, Rick Scott",[53]
"Thursday, November 1, 2018",Columbia,MO,Columbia Regional Airport,Josh Hawley,[54]
"Friday, November 2, 2018",Huntington,WV,Tri-State Airport,"Patrick Morrisey, Carol Miller",[55][56]
"Friday, November 2, 2018",Indianapolis,IN,Southport High School,"Mike Pence, Mike Braun, Bobby Knight",[57][58]
"Saturday, November 3, 2018",Belgrade,MT,Bozeman Yellowstone International Airport,"Matt Rosendale, Greg Gianforte",[59][60]
"Saturday, November 3, 2018",Pensacola,FL,Pensacola International Airport,"Mike Pence, Ron DeSantis, Rick Scott",[61][62]
"Sunday, November 4, 2018",Macon,GA,Middle Georgia Regional Airport,"Brian Kemp, Nathan Deal, Geoff Duncan, Sonny Perdue",[63][64]
"Sunday, November 4, 2018",Chattanooga,TN,McKenzie Arena,"Mike Pence, Lee Greenwood, Marsha Blackburn",[65][66]
"Monday, November 5, 2018",Cleveland,OH,I-X Center,"Jim Jordan, Ivanka Trump, Jim Renacci, Mike DeWine",[67][68]
"Monday, November 5, 2018",Fort Wayne,IN,Allen County War Memorial Coliseum,"Ivanka Trump, Kellyanne Conway, Sarah Sanders, Mike Braun",[69][70]
"Monday, November 5, 2018",Cape Girardeau,MO,Show Me Center,"Josh Hawley, Sean Hannity, Jeanine Pirro, Rush Limbaugh, Lee Greenwood, Ivanka Trump, Kellyanne Conway, Sarah Sanders",[71][72]
"Monday, November 26, 2018",Tupelo,MS,Tupelo Regional Airport,Cindy Hyde-Smith,[73][74]
"Monday, November 26, 2018",Biloxi,MS,Mississippi Coast Coliseum,"Mike Pence, Phil Bryant, Cindy Hyde-Smith",[75]
