Date of rally,City,State,Venue,Other speakers,Source
"Saturday, February 18, 2017",Melbourne,FL,Orlando Melbourne International Airport,Melania Trump,[10]
"Wednesday, March 15, 2017",Nashville,TN,Nashville Municipal Auditorium,,[11]
"Monday, March 20, 2017",Louisville,KY,Kentucky Exposition Center,,[12]
"Saturday, April 29, 2017",Harrisburg,PA,Pennsylvania Farm Show Complex & Expo Center,,[13]
"Wednesday, June 21, 2017",Cedar Rapids,IA,U.S. Cellular Center,,[14]
"Tuesday, July 25, 2017",Youngstown,OH,Covelli Centre,"Melania Trump, Eric Trump, Lara Trump",[15]
"Thursday, August 3, 2017",Huntington,WV,Big Sandy Superstore Arena,"Jim Justice, Hershel W. Williams",[16]
"Tuesday, August 22, 2017",Phoenix,AZ,Phoenix Convention Center,"Ben Carson, Alveda King, Franklin Graham, Mike Pence",[17]
"Friday, September 22, 2017",Huntsville,AL,Von Braun Center,Luther Strange,[18]
"Friday, December 8, 2017",Pensacola,FL,Pensacola Bay Center,,[19]
